,,p.u.
asset,time_step,value
availability-Asgard_Solar,1,0.8309790861599108
availability-Asgard_Solar,2,0.09491394430123468
availability-Asgard_Solar,3,0.23778776720026507
availability-Asgard_Solar,4,0.23827100792252176
availability-Asgard_Solar,5,0.3192945295893561
availability-Asgard_Solar,6,0.5714136853363941
availability-Asgard_Solar,7,0.45432801170599635
availability-Asgard_Solar,8,0.512651832558099
availability-Asgard_Solar,9,0.06973999764232919
availability-Asgard_Solar,10,0.2895264241101876
availability-Asgard_Solar,11,0.3410341846166347
availability-Asgard_Solar,12,0.41451959273614347
availability-Asgard_Solar,13,0.6294059479569611
availability-Asgard_Solar,14,0.6313050577847351
availability-Asgard_Solar,15,0.9188279439001513
availability-Asgard_Solar,16,0.7217161598067635
availability-Asgard_Solar,17,0.9526995528492387
availability-Asgard_Solar,18,0.8500339129705753
availability-Asgard_Solar,19,0.32201059032841617
availability-Asgard_Solar,20,0.8327957189913894
availability-Asgard_Solar,21,0.3155553518016342
availability-Asgard_Solar,22,0.6716263359602022
availability-Asgard_Solar,23,0.9818898194470658
availability-Asgard_Solar,24,0.1441375313885106
availability-Asgard_Solar,25,0.9001030492506344
availability-Asgard_Solar,26,0.949965331042761
availability-Asgard_Solar,27,0.44458231608389265
availability-Asgard_Solar,28,0.35075820480251585
availability-Asgard_Solar,29,0.5871509364461114
availability-Asgard_Solar,30,0.907562262382678
availability-Asgard_Solar,31,0.31313833100168253
availability-Asgard_Solar,32,0.003107323362043335
availability-Asgard_Solar,33,0.6389083493002803
availability-Asgard_Solar,34,0.11357503083228826
availability-Asgard_Solar,35,0.8793611933865964
availability-Asgard_Solar,36,0.45900104970810907
availability-Asgard_Solar,37,0.7110578696213428
availability-Asgard_Solar,38,0.06704885815439132
availability-Asgard_Solar,39,0.6435620438930324
availability-Asgard_Solar,40,0.5520432308637104
availability-Asgard_Solar,41,0.965981639101207
availability-Asgard_Solar,42,0.43349439912234256
availability-Asgard_Solar,43,0.010386264048138916
availability-Asgard_Solar,44,0.15585688814473508
availability-Asgard_Solar,45,0.21832148829629183
availability-Asgard_Solar,46,0.9835374916641861
availability-Asgard_Solar,47,0.160240642838529
availability-Asgard_Solar,48,0.08223817522426491
availability-Asgard_Solar,49,0.8782176479863969
availability-Asgard_Solar,50,0.5923107182749748
availability-Asgard_Solar,51,0.5245621450877344
availability-Asgard_Solar,52,0.834317288585513
availability-Asgard_Solar,53,0.5498321652710089
availability-Asgard_Solar,54,0.17273873836696696
availability-Asgard_Solar,55,0.276371147567006
availability-Asgard_Solar,56,0.9969988645033625
availability-Asgard_Solar,57,0.8659398103740489
availability-Asgard_Solar,58,0.6005708745041437
availability-Asgard_Solar,59,0.1749090559818114
availability-Asgard_Solar,60,0.6250929015553297
availability-Asgard_Solar,61,0.6518821876749952
availability-Asgard_Solar,62,0.9820694554297636
availability-Asgard_Solar,63,0.48819292588390073
availability-Asgard_Solar,64,0.22754973578079984
availability-Asgard_Solar,65,0.11491421744197505
availability-Asgard_Solar,66,0.45220920959412225
availability-Asgard_Solar,67,0.6740631895167772
availability-Asgard_Solar,68,0.8459750914417251
availability-Asgard_Solar,69,0.666870450782413
availability-Asgard_Solar,70,0.538752817765726
availability-Asgard_Solar,71,0.19150808753285975
availability-Asgard_Solar,72,0.013718890411715479
availability-Asgard_Solar,73,0.3602775108587404
availability-Asgard_Solar,74,0.14158774317426193
availability-Asgard_Solar,75,0.9922697270833309
availability-Asgard_Solar,76,0.7088326335472669
availability-Asgard_Solar,77,0.33823694187483777
availability-Asgard_Solar,78,0.417762006854693
availability-Asgard_Solar,79,0.8100695890023909
availability-Asgard_Solar,80,0.6618942457887889
availability-Asgard_Solar,81,0.2495380007402016
availability-Asgard_Solar,82,0.6225465266509157
availability-Asgard_Solar,83,0.8422062812283674
availability-Asgard_Solar,84,0.48547057266348026
availability-Asgard_Solar,85,0.8871547749571509
availability-Asgard_Solar,86,0.18991315127917496
availability-Asgard_Solar,87,0.41436873825951426
availability-Asgard_Solar,88,0.004576750777767757
availability-Asgard_Solar,89,0.11254983613847358
availability-Asgard_Solar,90,0.5502379377997476
availability-Asgard_Solar,91,0.7573761182032643
availability-Asgard_Solar,92,0.8637054488797428
availability-Asgard_Solar,93,0.0032403780355541034
availability-Asgard_Solar,94,0.8886391027772826
availability-Asgard_Solar,95,0.9920109369261777
availability-Asgard_Solar,96,0.46267861550374334
availability-Asgard_Solar,97,0.4559869383555234
availability-Asgard_Solar,98,0.429564501669217
availability-Asgard_Solar,99,0.5829914392763759
availability-Asgard_Solar,100,0.6319029827674516
availability-Asgard_Solar,101,0.405226358961157
availability-Asgard_Solar,102,0.5857261113015078
availability-Asgard_Solar,103,0.5655841820695282
availability-Asgard_Solar,104,0.5241801275624243
availability-Asgard_Solar,105,0.47108153189206703
availability-Asgard_Solar,106,0.05991750648245331
availability-Asgard_Solar,107,0.746483627736533
availability-Asgard_Solar,108,0.05360733166057452
availability-Asgard_Solar,109,0.4350733508109933
availability-Asgard_Solar,110,0.1802482267831731
availability-Asgard_Solar,111,0.6551607411075506
availability-Asgard_Solar,112,0.5674245966201219
availability-Asgard_Solar,113,0.6271490134037984
availability-Asgard_Solar,114,0.5019161227098659
availability-Asgard_Solar,115,0.7000487697705289
availability-Asgard_Solar,116,0.6665884204688199
availability-Asgard_Solar,117,0.9849290805679768
availability-Asgard_Solar,118,0.3454792431833168
availability-Asgard_Solar,119,0.8425336714452797
availability-Asgard_Solar,120,0.35224600443412446
availability-Asgard_Solar,121,0.675276671010475
availability-Asgard_Solar,122,0.5061523492979865
availability-Asgard_Solar,123,0.6914770768620292
availability-Asgard_Solar,124,0.7180580110962442
availability-Asgard_Solar,125,0.7085197447251981
availability-Asgard_Solar,126,0.8444220954991127
availability-Asgard_Solar,127,0.8928371978385012
availability-Asgard_Solar,128,0.09601202257966213
