,,p.u.
profile_name,timestep,value
availability-Asgard_Solar,1,0.0
availability-Asgard_Solar,2,0.00032654152139409393
availability-Asgard_Solar,3,0.0
availability-Asgard_Solar,4,0.0
availability-Asgard_Solar,5,0.0
availability-Asgard_Solar,6,0.00019699224499831298
availability-Asgard_Solar,7,0.0
availability-Asgard_Solar,8,0.0006293785114776001
availability-Asgard_Solar,9,0.05522586828057279
availability-Asgard_Solar,10,0.15740230210700001
availability-Asgard_Solar,11,0.21667235342455718
availability-Asgard_Solar,12,0.2560961357537331
availability-Asgard_Solar,13,0.2585447140144842
availability-Asgard_Solar,14,0.19704442064064576
availability-Asgard_Solar,15,0.0810824591496962
availability-Asgard_Solar,16,0.0008258967396193686
availability-Asgard_Solar,17,0.0
availability-Asgard_Solar,18,0.0003909683471985812
availability-Asgard_Solar,19,0.0003018321699476682
availability-Asgard_Solar,20,0.0018178334777718737
availability-Asgard_Solar,21,0.0008425604107493058
availability-Asgard_Solar,22,0.0
availability-Asgard_Solar,23,0.0
availability-Asgard_Solar,24,0.0010633291046166255
availability-Asgard_Solar,25,0.0006971919779046653
availability-Asgard_Solar,26,0.0
availability-Asgard_Solar,27,0.0003104544592504076
availability-Asgard_Solar,28,0.0
availability-Asgard_Solar,29,0.0
availability-Asgard_Solar,30,0.000727801278708102
availability-Asgard_Solar,31,0.0
availability-Asgard_Solar,32,0.0002543097311209134
availability-Asgard_Solar,33,0.05350918856455217
availability-Asgard_Solar,34,0.15785707089905576
availability-Asgard_Solar,35,0.21824763537295291
availability-Asgard_Solar,36,0.25882937644823056
availability-Asgard_Solar,37,0.25880073358704914
availability-Asgard_Solar,38,0.19642494773956315
availability-Asgard_Solar,39,0.07864956486838416
availability-Asgard_Solar,40,0.0013984364733482368
availability-Asgard_Solar,41,0.0
availability-Asgard_Solar,42,0.0001298297560010752
availability-Asgard_Solar,43,0.0
availability-Asgard_Solar,44,0.0
availability-Asgard_Solar,45,0.0
availability-Asgard_Solar,46,0.0
availability-Asgard_Solar,47,0.0002034711167543944
availability-Asgard_Solar,48,0.0
availability-Asgard_Solar,49,0.0
availability-Asgard_Solar,50,0.0
availability-Asgard_Solar,51,0.0
availability-Asgard_Solar,52,0.0010122383193273202
availability-Asgard_Solar,53,0.0
availability-Asgard_Solar,54,0.0011175861646189739
availability-Asgard_Solar,55,0.0
availability-Asgard_Solar,56,0.0002669607681627828
availability-Asgard_Solar,57,0.0536039653863133
availability-Asgard_Solar,58,0.1568710780752495
availability-Asgard_Solar,59,0.21826135504604738
availability-Asgard_Solar,60,0.25736241306247265
availability-Asgard_Solar,61,0.25834480519868547
availability-Asgard_Solar,62,0.1979968709278359
availability-Asgard_Solar,63,0.07917683091586229
availability-Asgard_Solar,64,0.002108638751467423
availability-Asgard_Solar,65,0.0
availability-Asgard_Solar,66,0.0006564985252621213
availability-Asgard_Solar,67,0.0018587358902114244
availability-Asgard_Solar,68,0.0005915465328569827
availability-Asgard_Solar,69,0.0
availability-Asgard_Solar,70,0.0008539764631271638
availability-Asgard_Solar,71,0.0
availability-Asgard_Solar,72,0.0021898666308355396
availability-Asgard_Solar,73,0.0
availability-Asgard_Solar,74,0.0012303609819131387
availability-Asgard_Solar,75,0.0
availability-Asgard_Solar,76,0.0
availability-Asgard_Solar,77,2.661905752587475e-5
availability-Asgard_Solar,78,0.0
availability-Asgard_Solar,79,0.0013783901043457137
availability-Asgard_Solar,80,0.0
availability-Asgard_Solar,81,0.054168537773133386
availability-Asgard_Solar,82,0.1577871819423027
availability-Asgard_Solar,83,0.21849893555791916
availability-Asgard_Solar,84,0.2563048995006889
availability-Asgard_Solar,85,0.25746579365463734
availability-Asgard_Solar,86,0.19779419637308435
availability-Asgard_Solar,87,0.0801043625491288
availability-Asgard_Solar,88,0.001711143893755426
availability-Asgard_Solar,89,0.0003896724395093547
availability-Asgard_Solar,90,0.001729080905971265
availability-Asgard_Solar,91,0.001415866571956294
availability-Asgard_Solar,92,0.0
availability-Asgard_Solar,93,0.0
availability-Asgard_Solar,94,0.0016637911811125201
availability-Asgard_Solar,95,0.0
availability-Asgard_Solar,96,0.0
availability-Asgard_Solar,97,0.0
availability-Asgard_Solar,98,0.0
availability-Asgard_Solar,99,0.0011372916208587608
availability-Asgard_Solar,100,0.0
availability-Asgard_Solar,101,0.001164341402179289
availability-Asgard_Solar,102,6.0631386538625316e-5
availability-Asgard_Solar,103,0.0013687743373829008
availability-Asgard_Solar,104,0.0
availability-Asgard_Solar,105,0.055608155496952055
availability-Asgard_Solar,106,0.15835842284184154
availability-Asgard_Solar,107,0.21887992361451802
availability-Asgard_Solar,108,0.257657653581944
availability-Asgard_Solar,109,0.2580769197133401
availability-Asgard_Solar,110,0.1978935555261621
availability-Asgard_Solar,111,0.08007985650203235
availability-Asgard_Solar,112,0.0018956927640579782
availability-Asgard_Solar,113,0.0
availability-Asgard_Solar,114,0.0005287733983431523
availability-Asgard_Solar,115,0.0004419331064436677
availability-Asgard_Solar,116,0.0026290666049345063
availability-Asgard_Solar,117,0.0
availability-Asgard_Solar,118,0.0
availability-Asgard_Solar,119,0.0024110850959143493
availability-Asgard_Solar,120,0.0
availability-Asgard_Solar,121,0.0011039848136533508
availability-Asgard_Solar,122,0.00038941457693747494
availability-Asgard_Solar,123,0.0
availability-Asgard_Solar,124,0.0015778201143122233
availability-Asgard_Solar,125,0.0014320986456905515
availability-Asgard_Solar,126,0.0005246651857227676
availability-Asgard_Solar,127,0.0
availability-Asgard_Solar,128,0.0
availability-Asgard_Solar,129,0.055084055794690404
availability-Asgard_Solar,130,0.15789743166418593
availability-Asgard_Solar,131,0.21827599423728974
availability-Asgard_Solar,132,0.257203773046172
availability-Asgard_Solar,133,0.25817425494330115
availability-Asgard_Solar,134,0.19728274814198518
availability-Asgard_Solar,135,0.07984489494285721
availability-Asgard_Solar,136,0.003088949984276944
availability-Asgard_Solar,137,0.0006853353421757654
availability-Asgard_Solar,138,0.0
availability-Asgard_Solar,139,0.0
availability-Asgard_Solar,140,0.0015311709225423339
availability-Asgard_Solar,141,0.00033802719522958854
availability-Asgard_Solar,142,0.0
availability-Asgard_Solar,143,0.00139967212379562
availability-Asgard_Solar,144,0.0
availability-Asgard_Solar,145,0.00014285975678556622
availability-Asgard_Solar,146,0.0
availability-Asgard_Solar,147,0.0007510329434213286
availability-Asgard_Solar,148,0.0
availability-Asgard_Solar,149,0.0
availability-Asgard_Solar,150,5.793190570107473e-5
availability-Asgard_Solar,151,0.0
availability-Asgard_Solar,152,0.0009438167837424438
availability-Asgard_Solar,153,0.05531738067460933
availability-Asgard_Solar,154,0.1588374154460035
availability-Asgard_Solar,155,0.22004160718209986
availability-Asgard_Solar,156,0.25548786072084384
availability-Asgard_Solar,157,0.25951403599952966
availability-Asgard_Solar,158,0.19908744660017869
availability-Asgard_Solar,159,0.07846267444348715
availability-Asgard_Solar,160,0.002373875770269749
availability-Asgard_Solar,161,0.0003627858935941545
availability-Asgard_Solar,162,0.0
availability-Asgard_Solar,163,0.0015067228909747116
availability-Asgard_Solar,164,0.0
availability-Asgard_Solar,165,0.0018095774891654084
availability-Asgard_Solar,166,0.0
availability-Asgard_Solar,167,0.0
availability-Asgard_Solar,168,0.0025529558398827154
availability-Asgard_Solar,169,0.00011332602448046628
